الأحد 22 دجنبر 2019 - 08:17,محمد ال الشيخ,اقترح على الجهة الشرقية تنظيم مهرجان الفقراء و مشركتنا باف درهم حتى نغني الف فقير.
الخميس 19 دجنبر 2019 - 12:19,ميلود لوسور,لذي امر واحد اقوله لهذه الممثلة انا اتحداك واتحدى حزبك وندعوا خبراء اجانب ونقيم اعمال حزبكم و حليفكم في الحكومة وحتى ان اردت ما قبل تحالفكم وان منحوكم واحد من عشرة اعتبر خاسرا ايتها الممثلة لو كانت هناك عدالة لادخلتم السجن ويتم الحجز على ممتلكاتكم تنهبون المال العام وتتكلمون وكأنكم ملائكة فقط تقاعد البرلمانيين والوزراء يدخلكم جهنم فما بالكم بالسجن
الخميس 19 دجنبر 2019 - 12:19,خديجة,النساء التجمعيات نعم النساء قادرات على تحمل المسؤلية وبرهنو على دالك
الخميس 19 دجنبر 2019 - 12:21,فاطمة,التجمع الوطني للاحرار قال كليمته انشاء الله التوفيق في استحقاقات 2021
الخميس 19 دجنبر 2019 - 12:22,علي,التجمع الوطني للاحرار حزب الوحيد لمزال خدام ابين على الجدية ديالو في العمل
الخميس 19 دجنبر 2019 - 12:25,عبدو,حزب يعمل اليوم بكل جدية وهدا ما سنراه في المستقبل واصلو
الخميس 19 دجنبر 2019 - 13:04,mariam,حزب التجمع الوطني للأحرار مدرسة قبل كل شئ و غني بقيم المواطنة نتمنى له التوفيق
الخميس 19 دجنبر 2019 - 13:05,halima,حزب الأحرار ماعندهم كنين يشدوه. راه خدام ،أراااا ما يطلقو فالاشاعات ديالهم و الانتقادات
الخميس 19 دجنبر 2019 - 13:06,laila,انا جاني الفيديو عادي لان السيدة ماقالت شي حاجة عيب و أصلا كاينا هي و الابن ديالها يعني لاش هاد التفاهات كاملين
الخميس 19 دجنبر 2019 - 13:07,salma,حنا كنفتخرو بحزب التجمع الوطني للأحرار و بالكفاءات ديلو و ماكايهموناش انتقادات المرتزقة
الخميس 19 دجنبر 2019 - 13:08,najla,هاد الناس فينما لقاو شي حاجة على الأحرار خاصهم ينتاقدوها واش ما عندهم ما يدار
الخميس 19 دجنبر 2019 - 13:11,nassim,هاد الحزب ما عند حتا واحد مايقول فيه، حيتاش فيه كفاءات كبار و طاقات شبابية و هو اللي غادي يهز المغرب ان شاء الله
الخميس 19 دجنبر 2019 - 13:14,Abdi 14,"إن حزب التجمع الوطني صنعته الإدارة، كما رئيسه الحالي تم انزاله بالحزب ليقوم بالدور الذي فشل فيه البام، فهو رجل غير مسيس، و بعيد عن السياسة، و للتدليل على ذلك نفيه لاقامة الولائم و الزرود في التجمعات التي يعقدها الحزب بينما الأمر عكس ذلك، بحيث صور تلك الوئام منشورة في الشبكات الاجتماعية للانترنيت، ثاني الزلات عندما أعلن عزمه على تربية المغاربة في تجمع ميلانو،
سيعرف هذا الحزب انتكاسات كبيرة،( ما هكذا تورد الإبل يا....)."
الخميس 19 دجنبر 2019 - 13:14,hamza,الأخت حنان غزيل غنية عن التعريف بأخلاقها و رزانتها هي اللي بقات ليهم يخرجو فيها العيب، الله يهدي ما خلق
الخميس 19 دجنبر 2019 - 13:16,youssef,انا مابانتش ليا حتا شي حاجة باش يكونو انتقادات على فيديو الأخت، ما عرفتش علاش حنا كنزيدو فيه شويا و اللي كيبدا للعافية راهم باينين
الخميس 19 دجنبر 2019 - 13:18,said,التجمع الوطني للأحرار لايزال و سيظل دائما في القمة مهما حاولو يخسرو ليه صورتو
السبت 21 دجنبر 2019 - 07:44,farhat,اذا كان الخبز الابيض و ،و و و يجلب الامراض للمواطن لماذا لا تتدخل الادارات المعنية لا تتدخل لمنع استصدار قرارا لمنع بيع هذه المواد للمغاربة لتجنبهم هذه الامراض فتكون قد وفرت عليها اموالا لجلب الادوية
الأحد 22 دجنبر 2019 - 14:29,ولد علي,"أحسنتم، تعميق العلاقات مع موريتانيا وتمتينها لها فوائد وإجابيات ومزايا كثيرة ومستقبل زاهر أحسن بكثير من العلاقة مع حكام الجزائر.
الى الامام والكفا ح مستمر"
الخميس 19 دجنبر 2019 - 10:23,سكفاندري,"ويقدم هذا المشروع حلاً مشتركاً لإشكالية ربط المناطق النائية بالكهرباء...ألم يستفد هاذا الدوار من برنامج الكهربة القروية ديال ONE. ههه آه لقد نسينا ان نسبة تغطية القرى بالشبكة الكهربائية المعلنة وصلت 99%. 
ولم يتبقى إلى هاذا الدوار الفقير."
السبت 21 دجنبر 2019 - 23:25,ابو طه,رهيب و الله رهيب الجمهور الزعيم
السبت 21 دجنبر 2019 - 23:26,amine,يا ريت دار هاذ لكراكاج مع لبيت ديال الجيش ، ماشي مع الخسارة
السبت 21 دجنبر 2019 - 23:28,akram,ليس له طعم و الفريق يعاني من سوء النتائج
السبت 21 دجنبر 2019 - 23:29,karim,تظل الجماهير البيضاوية الأروع و الأجمل في التشجيع
الأحد 22 دجنبر 2019 - 00:42,مغربي,"الي karim صاحب التعليق 4
وما الداعي للمقارنة
عارفناكم نتوما الواعرين"
الجمعة 20 دجنبر 2019 - 14:08,المهضوة حقوقه,السفريات على حساب أموال الشعب.
الأحد 15 دجنبر 2019 - 20:56,عبدالقادر جرسيف,شحال قدنا ما ندركو الشمس بالغربال واش هاد الحكومة ماعرفاش بللي الجهة الشرقية كانت عايشة بالتهريب ومنذ هذه اللحظة ما دارو لا معامل لا مصانع لا اوراش وجيبو غير الربع من ذاك الشي لي دايرين فطنجة الله ياخذ فيكم الحق.
الأحد 15 دجنبر 2019 - 21:08,وجدة,شكرا هسبريس علي هده الالتفاتة....الشرق باكمله يمر بازمة خانقة تكاد تصل الى السكتة القلبية وهده حقيقة
الأحد 15 دجنبر 2019 - 21:10,amin sidi,"سلام: شوف الفرق بين لغة الناس لكبار ولغة الناس البوسطاء .الاولين هضرتهم حروها من الخشب والتليين
حروفها من حرير . قلوبنا معكم ياهلينا ."
الأحد 15 دجنبر 2019 - 21:30,معلق من العيون,لا يمكن فتح الحدود مادامت السلطة ف الجزائر نفسها لأنها تتغذي من العداء للمغرب لتوطيد شرعيتها و نسبة كبيرة من الشعب الجزائري لا تريد فتح الحدود لأنها تعرف أن المغرب يستفيد أكثر و لدينا اقتصاد جاذب أكثر منهم و حتى لو انكرنا ذلك لا يمكن أن نقول أن كل الشعب الجزائري يبغي المغاربة يجب أن نعترف بذلك فعلى جميع المستويات المغرب أكثر جذبا من الجارة الجزائر و أكثر تنافسية .. لا يجب أن نكون عاطفيين فتح الحدود ليس في ايدينا يجب تنمية المنطقة
الأحد 15 دجنبر 2019 - 21:35,لعجب,هناك من يقول أن وجدة تمر بأزمة لكن ما يثير انتباهي هو الإقبال الكبير عليها من كل المدن المغربية و الإستقرار فيها و البناء يكاد يصل إلى بنيدرار ولا تجد مكان لتمر منه لكثرة الزحام ما شاء الله
الأحد 15 دجنبر 2019 - 21:42,كمال,هذا يحدث بين من يدعون أنهم خير امه اخرجت للناس تأمر بالمعروف والنهي عن المنكر.
الأحد 15 دجنبر 2019 - 21:55,خليلوفيتش,كلا الشعبين متضررين هكذا حال المناطق الحدودية سكان الجهة الشرقية للمغرب و كذا سكان الجهة الغربية للجزائر. الرابح الأكبر هم الساسة بإستغلالهم هذا الوضع ٠ كما هو الحال للإنتخابات الأخيرة في الجزائر.
الأحد 15 دجنبر 2019 - 22:07,كريم فرنسا,"الأزمة باينة على هاد الوجوه الطيبة أهل المنطقة الشرقية و غرب الجزائر من أطيب خلق الله عاشرتهم في الغربة لثلاثين سنة والله ما شفت منهم غير الخير ما شاء الله طيبون بالفطرة.
الشعبان يحبان بعضهما البعض أما المسؤولين في البلدين ما راهمش حاسين بمعاناة الناس في الجزائر وفي المغرب لما أغلقوا الحدود أغلقوا أبواب مصدر رزق عائلات بكاملها وقطعوا الأرحام لا حول ولا قوة إلا بالله."
